dff,demixed,raw,neuropil_corrected,events,plane,col,volume,roi
[1.1326565  0.12610407 1.4266396  ... 0.         0.48391053 0.8313798 ],[461.79367 354.94885 556.5546  ... 335.99374 382.07986 398.91904],[513.29816 394.12424 600.42236 ... 377.92548 418.29193 443.1056 ],[322.0186  194.75403 370.28076 ... 181.42896 237.33028 252.9914 ],[0.         0.14240007 0.16469973 ... 0.         0.07814129 0.        ],0,2,5,0
[0.54362833 0.22379696 0.42190823 ... 0.06101339 0.2962469  0.6444715 ],[468.953   447.00427 503.99146 ... 399.50854 420.92307 477.9701 ],[468.953   447.00427 503.99146 ... 399.50854 420.92307 477.9701 ],[268.48145 238.45338 270.25653 ... 218.41043 249.01901 299.306  ],[0.         0.         0.         ... 0.         0.06792571 0.        ],0,2,5,1
[0.871868   0.7344089  1.4147545  ... 0.36461842 1.7781684  1.9373567 ],[561.67224 532.79596 686.56525 ... 515.57526 721.24414 685.55853],[561.67224 532.79596 686.56525 ... 515.57526 721.24414 685.55853],[338.477   318.0032  430.50507 ... 284.29617 523.9001  496.83774],[0.         0.10163116 0.         ... 0.         0.16266061 0.        ],0,2,5,2
[1.5027747  1.0496231  1.1743734  ... 0.07057899 1.7903192  3.0471048 ],[548.0968 494.6165 567.4194 ... 363.2509 589.215  644.4229],[548.0968 494.6165 567.4194 ... 363.2509 589.215  644.4229],[339.59143 299.2259  348.34576 ... 185.32794 409.2391  467.41812],[0.         0.         0.1827034  ... 0.         0.41766685 0.        ],0,2,5,3
[1.5082428  0.7196614  1.4080576  ... 0.21372023 0.70075077 0.39700177],[539.5662  405.0525  572.12805 ... 357.6306  440.54282 377.75412],[622.1409  502.05453 653.5273  ... 420.51364 512.      439.58182],[516.7621  396.72266 536.0674  ... 321.97125 417.6958  347.43887],[0.         0.         0.23302987 ... 0.07153524 0.         0.        ],0,2,5,4
[0.70899516 0.6789307  0.7448012  ... 0.09430345 0.17515838 0.40560707],[426.47772 412.9213  444.2629  ... 311.90314 328.13263 336.71265],[443.94525 429.57635 463.2219  ... 328.0432  343.6484  353.0951 ],[263.14243 259.4033  270.477   ... 184.71635 193.27469 200.33675],[0.         0.         0.         ... 0.         0.05712197 0.        ],0,2,5,5
"[ 0.43573582  0.68742895  0.5536865  ... -0.00191017  0.13585098
  0.18906458]",[408.18558 439.85748 477.6487  ... 326.54977 336.8789  338.18512],[457.04123 502.21133 535.1134  ... 361.1598  384.46393 375.31958],[279.6925  323.03278 323.15152 ... 208.67891 230.02698 221.10783],[0. 0. 0. ... 0. 0. 0.],0,2,5,6
[0.3062052  0.21672253 0.37838417 ... 0.6365854  0.1190545  0.61991864],[339.0072  328.5833  369.00595 ... 345.7596  301.109   317.58575],[358.93518 349.375   394.80093 ... 369.68982 319.41666 337.97684],[146.90717  143.11726  158.6593   ... 175.84386  113.638176 144.65556 ],[0. 0. 0. ... 0. 0. 0.],0,2,5,7
[2.6675417 2.81958   2.283676  ... 0.7006737 3.2940967 2.8086946],[759.7645  789.647   770.1133  ... 472.52847 855.35046 791.26074],[777.72595 808.8111  786.9593  ... 496.25925 882.92224 800.55554],[558.7877  605.1543  534.2137  ... 315.48383 693.4509  611.76843],[0.06436656 0.         0.08261712 ... 0.15692283 0.1264845  0.        ],0,2,5,8
[0.41268805 0.45219493 0.36943325 ... 0.3878893  0.3110044  0.341075  ],[372.24    402.9091  411.6509  ... 374.50546 340.99274 337.20728],[372.24    402.9091  411.6509  ... 374.50546 340.99274 337.20728],[232.17995 251.15477 243.27698 ... 245.91245 220.81352 214.06558],[0. 0. 0. ... 0. 0. 0.],0,2,5,9
